tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***79387,20161231,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,0803,OPP,1600 KEELE ST,,,ON
***64669,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0803,NR,617 DANFORTH AVE,,,ON
***71727,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0803,NR,3032 DUNDAS ST W,,,ON
***71872,20161231,3,PARK ON PRIVATE PROPERTY,30,0803,AT,50 BRUYERES MEWS,,,ON
***71873,20161231,3,PARK ON PRIVATE PROPERTY,30,0803,AT,50 BRUYERES MEWS,,,ON
***74424,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0803,OPP,122 MARINE PARADE DR,,,ON
***98448,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0804,NR,188 CARLTON ST,,,AZ
***78457,20161231,336,PARK-FAIL TO DISPLAY PERMIT,30,0804,OPP,837 MANNING AVE,,,ON
***90758,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0804,NR,420 MONTROSE AVE,,,ON
***94547,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0805,NR,136 CUMBERLAND ST,,,ON
***50817,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0805,NR,15 MERCER ST,,,ON
***60169,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0805,NR,165 SPADINA AVE,,,ON
***61116,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0805,W/S,ROLLING MILLS RD,N/O,PALACE ST,ON
***74425,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0805,OPP,122 MARINE PARADE DR,,,ON
***76983,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0805,OPP,36 VAUGHAN RD,,,ON
***76984,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0805,NR,44 VAUGHAN RD,,,ON
***94548,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0806,NR,128 CUMBERLAND ST,,,ON
***98449,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0806,NR,188 CARLTON ST,,,AZ
***37307,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0806,NR,335 LONSDALE RD,,,ON
***50818,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0806,NR,15 MERCER ST,,,AB
***61117,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0806,NR,20 PALACE ST,,,ON
***76985,20161231,406,PARK-VEH. W/O VALID ONT PLATE,40,0806,NR,44 VAUGHAN RD,,,ON
***98450,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0807,NR,179 CARLTON ST,,,AZ
***37308,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0807,NR,335 LONSDALE RD,,,ON
***49799,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0807,NR,33 ELM ST,,,ON
***60170,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0807,NR,197 SPADINA AVE,,,ON
***64670,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0807,NR,745 DANFORTH AVE,,,ON
***71728,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0807,NR,3071 DUNDAS ST W,,,ON
***07144,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0807,N/S,ELLERSLIE AVE,W/O,YONGE ST,ON
***34671,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0808,NR,765 QUEEN ST E,,,NF
***61118,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0808,NR,80 COOPERAGE ST,,,SK
***64671,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0809,NR,815 DANFORTH AVE,,,ON
***78458,20161231,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0809,NR,866 PALMERSTON AVE,,,ON
***61119,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0810,S/S,FRONT ST E,E/O,COOPERAGE ST,ON
***74426,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0810,NR,5 MARINE PARADE DR,,,ON
***78459,20161231,336,PARK-FAIL TO DISPLAY PERMIT,30,0810,NR,880 PALMERSTON AVE,,,ON
***94549,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0811,NR,118 YORKVILLE AVE,,,ON
